Date,High,Low,Open,Close,Volume,Adj Close
2010-05-12,121000.0,112500.0,119500.0,114000.0,9504811.0,97796.5390625
2010-05-13,117000.0,115000.0,115500.0,115500.0,2184611.0,99083.328125
2010-05-14,116500.0,112000.0,115000.0,114000.0,1766046.0,97796.5390625
2010-05-17,113500.0,107500.0,112000.0,107500.0,2436796.0,92220.421875
2010-05-18,110000.0,107000.0,108500.0,110000.0,992698.0,94365.078125
2010-05-19,110000.0,107500.0,109000.0,109500.0,849604.0,93936.1328125
2010-05-20,111000.0,107500.0,109500.0,107500.0,737460.0,92220.421875
2010-05-24,106000.0,101500.0,105000.0,102500.0,1211758.0,87931.09375
2010-05-25,101000.0,95500.0,100500.0,98000.0,1594192.0,84070.703125
2010-05-26,110000.0,97800.0,98000.0,110000.0,3446050.0,94365.078125
2010-05-27,110000.0,106000.0,107000.0,109000.0,1530520.0,93507.2109375
2010-05-28,111000.0,105500.0,111000.0,108000.0,690425.0,92649.3515625
2010-05-31,110000.0,106000.0,107500.0,109000.0,477021.0,93507.2109375
2010-06-01,109000.0,106000.0,108500.0,106000.0,298598.0,90933.609375
2010-06-03,107000.0,103000.0,105500.0,104000.0,901342.0,89217.890625
2010-06-04,105500.0,103000.0,104500.0,103000.0,416465.0,88360.0234375
2010-06-07,102500.0,99800.0,100500.0,102000.0,573780.0,87502.15625
2010-06-08,104500.0,102000.0,102000.0,102500.0,387803.0,87931.09375
2010-06-09,104000.0,102000.0,103000.0,102000.0,242710.0,87502.15625
2010-06-10,104000.0,102000.0,103000.0,102500.0,267676.0,87931.09375
2010-06-11,105000.0,102500.0,104000.0,103000.0,454402.0,88360.0234375
2010-06-14,104000.0,100500.0,103500.0,101000.0,767148.0,86644.3046875
2010-06-15,101500.0,100000.0,101500.0,100500.0,474019.0,86215.3671875
2010-06-16,101500.0,99900.0,101500.0,100500.0,587113.0,86215.3671875
2010-06-17,103500.0,100000.0,100500.0,100500.0,662035.0,86215.3671875
2010-06-18,102000.0,100000.0,101000.0,101500.0,485914.0,87073.234375
2010-06-21,102000.0,100000.0,101500.0,100500.0,753197.0,86215.3671875
2010-06-22,101500.0,100000.0,100500.0,100500.0,456165.0,86215.3671875
2010-06-23,101000.0,100000.0,100500.0,100500.0,397369.0,86215.3671875
2010-06-24,101000.0,100000.0,100500.0,100500.0,331095.0,86215.3671875
2010-06-25,107000.0,99900.0,100500.0,106500.0,1823381.0,91362.546875
2010-06-28,107000.0,105000.0,107000.0,106500.0,595619.0,91362.546875
2010-06-29,107000.0,102500.0,106000.0,105000.0,710521.0,90075.7578125
2010-06-30,103500.0,102000.0,103000.0,103500.0,701595.0,88788.9609375
2010-07-01,104500.0,101500.0,102500.0,104000.0,476704.0,89217.890625
2010-07-02,104500.0,102500.0,104000.0,102500.0,274805.0,87931.09375
2010-07-05,104000.0,102500.0,102500.0,104000.0,204626.0,89217.890625
2010-07-06,104000.0,102500.0,103500.0,103000.0,257913.0,88360.0234375
2010-07-07,105500.0,103000.0,103500.0,105000.0,584680.0,90075.7578125
2010-07-08,106500.0,104500.0,106500.0,105000.0,324346.0,90075.7578125
2010-07-09,108500.0,104500.0,105500.0,106500.0,1172265.0,91362.546875
2010-07-12,109000.0,106000.0,107500.0,108500.0,640815.0,93078.2890625
2010-07-13,109500.0,107000.0,109000.0,107500.0,348292.0,92220.421875
2010-07-14,108500.0,106500.0,108000.0,107000.0,490314.0,91791.484375
2010-07-15,107000.0,105000.0,107000.0,105500.0,423561.0,90504.6796875
2010-07-16,109000.0,105000.0,105500.0,107500.0,878451.0,92220.421875
2010-07-19,107500.0,105500.0,107000.0,106000.0,265663.0,90933.609375
2010-07-20,107000.0,105500.0,106000.0,107000.0,228396.0,91791.484375
2010-07-21,108000.0,106000.0,108000.0,106500.0,217135.0,91362.546875
2010-07-22,106500.0,104500.0,106500.0,105000.0,346425.0,90075.7578125
2010-07-23,106500.0,104500.0,106000.0,105500.0,389252.0,90504.6796875
2010-07-26,107000.0,105000.0,105500.0,106000.0,297556.0,90933.609375
2010-07-27,107000.0,106000.0,106500.0,106000.0,294471.0,90933.609375
2010-07-28,108000.0,105500.0,106500.0,107500.0,534868.0,92220.421875
2010-07-29,111000.0,108000.0,108500.0,109000.0,963367.0,93507.2109375
2010-07-30,111000.0,108000.0,109000.0,110000.0,614311.0,94365.078125
